PubmedID,Title,PublicationDate,NonAcademicAuthors,CompanyAffiliations,CorrespondingEmail
40137451,Association Between Sociodemographic Disparities and Door to Computerized Tomography Time in Patients with Acute Ischemic Stroke Across COVID-19 Periods in the Emergency Department: A Multi-Center Cohort Study.,2025,Khan M; Danley M; Tzeng CT; Hassani D; Walker J; Damrow T; Hsieh YL; Chou EH; Shah J; Shedd A,"Department of Anesthesiology, Baylor Scott and White All Saints Medical Center, Fort Worth, TX 76104, USA.; Department of Emergency Medicine, Baylor Scott and White All Saints Medical Center, Fort Worth, TX 76104, USA.",Not found
40137448,Protective Effect of Daily Physical Activity Against COVID-19 in a Young Adult Population on Reunion Island.,2025,Lebeau G; Mathieu ME; Cazeneuve C; Chouchou F; Viranaicken W; Couret D,"Centre de recherche Azrieli, CHU Saint-Justine, Montreal, QC H3T 1C5, Canada.; Laboratoire d'IngenieRIe de la Sante, du Sport et de l'Environnement (IRISSE, EA4075), UFR des Sciences de l'Homme et de l'Environnement, Universite de La Reunion, 117 rue du General Ailleret, 97430 Le Tampon, La Reunion, France.; Diabete Atherothrombose Reunion Ocean Indien (DeTROI), Inserm UMR 1188, Campus Sante de Terre Sainte, Universite de La Reunion, 97410 Saint-Pierre, La Reunion, France.",Not found
40137443,"Impact of the SARS-CoV-2 Pandemic on the Prevalence and Incidence of Enteric Protozoa in a Spanish Tertiary-Care Hospital and a Referral Center for Tropical Diseases, 2019-2023.",2025,de la Calle-Prieto F; Garcia-Rodriguez J; Arsuaga M; Ruiz-Carrascoso G; Maldonado-Barrueco A; Diaz-Menendez M,"Centro de Investigacion Biomedica en Red Enfermedades Infecciosas (CIBERINFEC), Instituto de Salud Carlos III, 28029 Madrid, Spain.",Not found
40137440,"Protection and waning of vaccine-induced, natural and hybrid immunity to SARS-CoV-2 in Hong Kong.",2025,Lau EHY; Lin Y; Jiang J; Yin G; Cowling BJ; Lam KF,"Laboratory of Data Discovery for Health (D24H), Hong Kong Science and Technology Park, Hong Kong Special Administrative Region, China.",Not found
40137298,Exploring the Preventive Potential of Solubilized Sturgeon Oil on Acute Infection with Respiratory Viruses.,2025,Cho HW; Yun SH; Yu M; Lee YK; Kim HJ; Lee CK; Park SO; Uyangaa E; Byeon HW; Eo SK,"BIO R&D Center, Sturgeon Bio Ltd., Co., Cheongju 28581, Republic of Korea.",Not found
40137232,Gut Mycobiome Changes During COVID-19 Disease.,2025,Krivonos DV; Govorun VM; Andreev DN; Pavlenko AV; Sokolov FS; Evdokimov VV; Levchenko OV; Klimina KM; Fedorov DE; Yanushevich OO; Maev IV; Devkota MK; Andreev NG; Ilina EN; Krikheli NI; Tsaregorodtsev SV; Zaborovsky AV; Kovalchuk SN; Veselovsky VA; Bely PA; Fomenko AK,"Lopukhin Federal Research and Clinical Center of Physical-Chemical Medicine of Federal Medical Biological Agency, ul. Malaya Pirogovskaya, 1s3, 119435 Moscow, Russia.",Not found
40137168,Cytokine-Based Insights into Bloodstream Infections and Bacterial Gram Typing in ICU COVID-19 Patients.,2025,Bento L; Von Rekowski CP; Fonseca TAH; Calado CRC; Araujo R; Ramalhete L,"IPST-Instituto Portugues do Sangue e da Transplantacao, Alameda das Linhas de Torres 117, 1769-001 Lisbon, Portugal.; CHRC-Comprehensive Health Research Centre, Universidade NOVA de Lisboa, 1150-082 Lisbon, Portugal.; ISEL-Instituto Superior de Engenharia de Lisboa, Instituto Politecnico de Lisboa, Rua Conselheiro Emidio Navarro 1, 1959-007 Lisbon, Portugal.; Intensive Care Department, ULSSJ-Unidade Local de Saude Sao Jose, Rua Jose Antonio Serrano, 1150-199 Lisbon, Portugal.",Not found
40137156,Analyses of Saliva Metabolome Reveal Patterns of Metabolites That Differentiate SARS-CoV-2 Infection and COVID-19 Disease Severity.,2025,Torres J; Resendis-Antonio O; Fiehn O; Larios-Serrato V; Rios-Sarabia N; Vazquez-Manjarrez N; Meza B,"Departamento de Bioquimica, Escuela Nacional de Ciencias Biologicas, Instituto Politecnico Nacional, Mexico City 11340, Mexico.; Unidad de Metabolomica, Departamento Fisiologia de la Nutricion, Instituto de Ciencias Medicas y Nutricion Salvador Zubiran, Mexico City 14080, Mexico.; Unidad de Investigacion Medica en Enfermedades Infecciosas, UMAE Pediatria, Centro Medico Nacional SXXI, Instituto Mexicano del Seguro Social, Mexico City 06920, Mexico.; Human Systems Biology Laboratory, Instituto Nacional de Medicina Genomica, Centro de Ciencias de la Complejidad & Coordinacion de la Investigacion Cientifica-Red de Apoyo a la Investigacion, Universidad Nacional Autonoma de Mexico, Mexico City 04510, Mexico.; Departamento Academico de Ciencia Animal y Conservacion del Habitat, Departamento Academico de Ingenierias en Pesquerias, Universidad Autonoma de Baja California Sur, La Paz 023080, Mexico.; NIH West Coast Metabolomics Center, UC Davis Genome Center, Davis, CA 95616, USA.; Centro de Investigaciones Biologicas del Noroeste SC, La Paz 23205, Mexico.",Not found
40137002,Non-Pharmaceutical Interventions on COVID-19 in Workers and Residents of Nursing Homes in Geneva: A Mixed Qualitative and Quantitative Study.,2025,Menon LK; Regard S; Balavoine JF; Kherad O; Guessous I; Stringhini S; Wisniak A; The SEROCoV-Work Study Group,"Department of Security, Population and Health, General Health Directorate, Canton of Geneva, 1211 Geneva, Switzerland.; Division of Internal Medicine, Hopital de la Tour, 1217 Meyrin, Switzerland.",Not found
40137001,The Impact of the COVID-19 Pandemic on Medical Training at the Greek National Health Service: A Cross-Sectional Study.,2025,Lamprinos D; Moutsos I; Oikonomou E; Papavassiliou KA; Kostaki EG; Siasos G; Marinos G; Orfanos P; Georgakopoulos P,"Aberdeen Royal Infirmary, Foresterhill, Aberdeen AB25 2ZN, UK.",Not found
40136998,Does Calm Always Follow the Storm? A Comprehensive Temporal Analysis of Emergency Department Visits in Northern Italy Before and After the COVID-19 Pandemic.,2025,Cortellaro F; Signorelli C; Perotti G; De la Rosa MJ; Bodina A; Albonico A; Querci L; Duca A; Calderaro M; Lombardo M; Pausilli P,"ASTIR Group, 20124 Milan, Italy.; ASST Grande Ospedale Metropolitano Niguarda, 20162 Milan, Italy.; Agenzia Regionale Emergenza Urgenza, 20124 Milan, Italy.",Not found
40136961,Detection of IgG Antibodies Against COVID-19 N-Protein by Hybrid Graphene-Nanorod Sensor.,2025,Pereira CL; Bagno FF; Rezende NP; Borges IA; Fonseca FG; Correa A Jr; Gomes LS; Goncalves KB; Junqueira C; Boaventura RVA; Lacerda RG; Barcelos RC; Orefice FB,"Vaccine Technology Center (CT Vacinas), BH-Tec, UFMG, Belo Horizonte 31270, MG, Brazil.",Not found
40136850,"Not All Workers Experience Equal Sleep Changes: Insights from the ""WorkInCovid"" Project.",2025,Garbarino S; Leo CG; Rissotto A; Tumolo MR; Tripepi GL; Fusco S; Scoditti E; Magnavita N; Guarino R; Sabina S; Bodini A; Mincarone P,"Training and Welfare Unit, National Research Council (CNR), 00185 Rome, Italy.",Not found
40136755,"Oral Medicine and Oral Clinical Chemistry Game Changers for Future Plaque Control and Maintenance: PerioSafe((R)) aMMP-8 POCT, Lumoral((R)) 2x PDT- and Lingora((R)) Fermented Lingonberry Oral Rinse-Treatments.",2025,Neefs D; Gupta S; Pfutzner A; Patila T; Penttala MT; Aji NRAS; Sakellari D; Raisanen IT; Parnanen P; Sorsa T; Sahni V; Grigoriadis A,"Department of Periodontics, Faculty of Dentistry, Universitas Gadjah Mada, Jalan Denta No. 1 Sekip Utara, 10 Sleman, Yogyakarta 55281, Indonesia.; Research & Evidence (RF&E), New Delhi 110001, India.",Not found
40136667,"Autophagy and Respiratory Viruses: Mechanisms, Viral Exploitation, and Therapeutic Insights.",2025,Bakinowska E; Ghavami S; Aligolighasemabadi F; Sadeghdoust M; Mehrbod P; Coombs KM; Kielbowski K,"Akademia Slaska, Ul Rolna 43, 40-555 Katowice, Poland.",Not found
40136633,International Survey on Phenylketonuria Newborn Screening.,2025,van Spronsen FJ; Battelino T; Remec ZI; Zetterstrom RH; Trampuz D; Drole Torkar A; Mlinaric M; Bonham JR; Perko D; Feillet F; Groselj U; Isns Study Group On Pku; Schielen PCJI; Lampret BR; Scarpa M; Tangeraas T; Kozich V,"International Society for Neonatal Screening, Reigerskamp 273, 3607 HP Stichtse Vecht, The Netherlands.; Sheffield Children's (NHS) FT, Sheffield S10 2TH, UK.",Not found
40136630,Non-Uptake of Newborn Screening in Planned Homebirth Is Associated with Preventive Health Practices for Infants: A Retrospective Case-Control Study.,2025,Verbov G; Shoob H; Katan S; Almashanu S; Stein-Zamir C,"Jerusalem District Health Office, Ministry of Health, Jerusalem 9134302, Israel.; National Newborn Screening Program, Ministry of Health, Ramat Gan 5262000, Israel.",Not found
40136608,"SGLT2 Inhibitors in COVID-19: Umbrella Review, Meta-Analysis, and Bayesian Sensitivity Assessment.",2025,Jayan M; Verma A; Bardhan M; Shamim MA; Dave T; Roy P; Suresh V; Sanker V; Ghosh V,"Department of Labour, Government of West Bengal, Kolkata 700001, India.",Not found
40136439,"Anti-Infective Screening of Selected Nine Cannabinoids Against Clostridium perfringens and Influenza A (H5N1) Neuraminidases, and SARS-CoV-2 Main Protease and Spike Protein Interactions.",2025,Pitakbut T; Kayser O,"Pharmaceutical Biology, Department of Biology, Friedrich-Alexander-Universitat Erlangen-Nurnberg (FAU), 91058 Erlangen, Germany.",Not found
40136351,"COVID-19 Pandemic Impact on Delays in Diagnosis and Treatment for Cervical Cancer in Montreal, Canada.",2025,Samouelian V; Hillmann E; Kerbage Y; Ruel-Laliberte J,"Centre de Recherche du CHUM (CRCHUM), Montreal, QC H2X 0A9, Canada.; Departement d'Obstetrique-Gynecologie, Universite de Montreal, Montreal, QC H3T 1J4, Canada.",Not found
40136225,Prevalence of invasive yeast infections in a COVID-19 intensive care unit in northeastern Brazil.,2025,Medeiros SMFRS; Campana EH; Araujo MAO; Dejani NN; Costa-Junior SD; Sousa ESS; Perez VP; Souto FO; Guerra FQS,"Departamento de Obstetricia e Ginecologia, Centro de Ciencias Medicas, Universidade Federal da Paraiba, Joao Pessoa, PB, Brasil.; Laboratorio de Biologia Molecular, Centro de Ciencias Medicas, Universidade Federal da Paraiba, Joao Pessoa, PB, Brasil.; Instituto Keizo Asami, Universidade Federal de Pernambuco, Recife, PE, Brasil.; Departamento de Fisiologia e Patologia, Centro de Ciencias da Saude, Universidade Federal da Paraiba, Joao Pessoa, PB, Brasil.; Departamento de Ciencias Farmaceuticas, Centro de Ciencias da Saude, Universidade Federal da Paraiba, Joao Pessoa, PB, Brasil.",Not found
